Sample,Cohort,Period,Signature,Mean,Lower,Upper
6e839eaf-1dbb-43f5-8846-c980e05540c7,PCAWG,Late,SBS1,107.5175479662398,82.84252611669375,131.93401493935497
6e839eaf-1dbb-43f5-8846-c980e05540c7,PCAWG,Late,SBS3,1570.2109781205866,1353.3559716564587,1800.8706846719513
d8fbb398-d1da-4444-984a-22c8523625da,PCAWG,Late,SBS1,49.60705521727492,32.530356247366036,66.3772978753372
d8fbb398-d1da-4444-984a-22c8523625da,PCAWG,Late,SBS3,1022.4018289567571,879.4116196423394,1144.579877534833
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,PCAWG,Late,SBS1,24.315394565746953,11.143981493021972,37.133957657785025
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,PCAWG,Late,SBS3,610.8727653205501,468.897009497357,775.4902060927504
418e916b-7a4e-4fab-8616-15dcec4d79f8,PCAWG,Late,SBS1,94.48717965449414,70.37764075768175,121.92272914786965
418e916b-7a4e-4fab-8616-15dcec4d79f8,PCAWG,Late,SBS3,1090.6094993923598,955.0951776502525,1217.512382901308
6c8e9197-fd16-4fed-bfda-e349cab26314,PCAWG,Late,SBS1,59.05803077006564,41.404547102196304,78.58700251731074
6c8e9197-fd16-4fed-bfda-e349cab26314,PCAWG,Late,SBS3,931.2179061002508,732.3810764141466,1153.18436461414
207f8a42-5b05-4876-b0ae-ebfaeea27844,PCAWG,Late,SBS1,14.473786162660288,0.0,27.70520705773387
207f8a42-5b05-4876-b0ae-ebfaeea27844,PCAWG,Late,SBS3,486.85513819733126,351.8301245606751,624.3212757060029
110b5f05-ded7-45ec-b0f6-a941c92d77dd,PCAWG,Late,SBS1,25.520329888659955,11.993345936634777,40.5746029703625
110b5f05-ded7-45ec-b0f6-a941c92d77dd,PCAWG,Late,SBS3,697.3768794847595,574.9369523860198,809.291267353367
987528ac-437a-4eb8-a335-4f2076d5c006,PCAWG,Late,SBS1,40.95328306855162,0.0,79.57500839538928
987528ac-437a-4eb8-a335-4f2076d5c006,PCAWG,Late,SBS3,1424.0292298473516,1152.917294229444,1722.1317597872846
ea43434b-197e-48ac-ae2e-46bc7f3776de,PCAWG,Late,SBS1,44.3306361580138,26.1373764340107,62.858016715005206
ea43434b-197e-48ac-ae2e-46bc7f3776de,PCAWG,Late,SBS3,1799.1655821257677,1497.9961929487233,1999.4115507958595
43f7a2e0-fec9-4e43-872d-18c6c946fa17,PCAWG,Late,SBS1,43.909708153523006,29.61890349475669,57.22559317773665
43f7a2e0-fec9-4e43-872d-18c6c946fa17,PCAWG,Late,SBS3,94.25762901283298,0.0,198.60415740897358
eddfbfb9-3ae8-449b-b870-46062a2571c1,PCAWG,Late,SBS1,40.1355315952195,22.13847213150169,60.863399811557734
eddfbfb9-3ae8-449b-b870-46062a2571c1,PCAWG,Late,SBS3,662.1994068012096,499.77916785558614,832.6706084548763
d5372745-95cf-4572-a6e7-e7f5b796911a,PCAWG,Late,SBS1,11.158985037862042,0.0,22.738400424411278
d5372745-95cf-4572-a6e7-e7f5b796911a,PCAWG,Late,SBS3,242.7616244521491,170.6348685750044,307.6182735224611
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,PCAWG,Late,SBS1,87.71605586276156,65.36900238985436,111.8596575001621
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,PCAWG,Late,SBS3,1077.7333161875813,866.1175029614501,1307.5497264626442
7456abd5-303e-4e6f-bf4e-47efefc7310f,PCAWG,Late,SBS1,54.127857821776935,36.959544298653014,75.65535630908836
7456abd5-303e-4e6f-bf4e-47efefc7310f,PCAWG,Late,SBS3,242.47931254264796,156.28711434656475,324.03559873015274
f393bafe-7503-5c45-e040-11ac0d484511,PCAWG,NA,SBS1,38.36846468446579,19.96853041790013,57.69077898166676
f393bafe-7503-5c45-e040-11ac0d484511,PCAWG,NA,SBS3,652.7111328852641,485.7064886676609,880.6696469476897
f393bb0c-4178-ca4a-e040-11ac0d48455f,PCAWG,NA,SBS1,5.598433921376633,0.0,12.627021392412054
f393bb0c-4178-ca4a-e040-11ac0d48455f,PCAWG,NA,SBS3,32.92200754339192,0.0,62.77634255861428
f221cbb5-eefa-187f-e040-11ac0c481708,PCAWG,NA,SBS1,69.04986170652977,41.3446409998469,92.3831961272971
f221cbb5-eefa-187f-e040-11ac0c481708,PCAWG,NA,SBS3,923.524099706949,674.4906594254334,1151.757028667663
f393bb08-4121-cad8-e040-11ac0d484535,PCAWG,NA,SBS1,15.777500829600628,7.70231265858658,26.3638422497981
f393bb08-4121-cad8-e040-11ac0d484535,PCAWG,NA,SBS3,141.00749713945999,62.569406065429106,236.6501035300142
f393bb07-270c-2c93-e040-11ac0d484533,PCAWG,NA,SBS1,17.293128507170948,0.0,28.882834002801186
